course,Fall 2026 - 2268,Spring 2027 - 2274
csc 1000,X, 
csc 1001,X,X
csc 1001l,X,X
csc 1024,X, 
csc 1031, ,X
csc 1032, ,X
csc 2001,X,X
csc 2001l,X,X
csc 2050,X,X
csc 2270, , 
csc 2600, , 
csc 3000,X, 
csc 3001,X,X
csc 3100,X,X
csc 3104, , 
csc 3111, , 
csc 3112, , 
csc 3113, ,X
csc 3200,X,X
csc 3201,X,X
csc 3203, ,X
csc 3250, ,X
csc 3300,X,X
csc 3445,X,X
csc 3449,X,X
csc 3665,X,X
csc 3710,X, 
csc 3760,X,X
csc 3780,X,X
csc 4036, ,X
csc 4037, ,X
csc 4091,X,X
csc 4092, , 
csc 4093, , 
csc 4100, ,X
csc 4160,X, 
csc 4161, ,X
csc 4170, , 
csc 4184, ,X
csc 4186, , 
csc 4191, , 
csc 4192, , 
csc 4193, , 
csc 4210, , 
csc 4212, ,X
csc 4214, ,X
csc 4230, , 
csc 4260,X, 
csc 4261, ,X
csc 4270, ,X
csc 4291, , 
csc 4292, , 
csc 4293, , 
csc 4310, , 
csc 4431, , 
csc 4432, ,X
csc 4448,X,X
csc 4470, , 
csc 4471, , 
csc 4553,X,X
csc 4554, , 
csc 4570, , 
csc 4610,X, 
csc 4620,X,X
csc 4665, , 
csc 4667,X, 
csc 4669,X, 
csc 4691, , 
csc 4692, , 
csc 4693, , 
csc 4710,X, 
csc 4730, , 
csc 4740, , 
csc 4760, , 
csc 4770, , 
csc 4791, , 
csc 4792, , 
csc 4793, , 
csc 4820,X, 
csc 4880,X,X
csc 4881,X,X
csc 4888,X,X
csc 4891, , 
csc 4892, , 
csc 4893, , 
csc 4991, , 
csc 4992, , 
csc 4993, , 
csc 5100,X, 
csc 5113,X, 
csc 5170, ,X
csc 5201, ,X
csc 5210, , 
csc 5220, ,X
csc 5270, , 
csc 5281, , 
csc 5370, , 
csc 5445, ,X
csc 5447, , 
csc 5449,X, 
csc 5550, , 
csc 5570,X,X
csc 5571, , 
csc 5590,X,X
csc 5660, ,X
csc 5666,X, 
csc 5669, ,X
csc 5670, , 
csc 5710,X, 
csc 5740, , 
csc 5770, , 
csc 5820, ,X
csc 5870, , 
csc 5880,X, 
csc 5887,X,X
